Tweet,Stance
75% of Americans want pro-choice. Old white men of the are taking away women rights.,1
The curse of putting a Walrus above a human embryo-fetus! #FreyaTheWalrus,0
"rights are respected in Not so much in the rest of where we and are second class, marginalized citizens",2
Her freedom to get an abortion because you didn’t teach her to respect her body?,0
"More Tosa doors today…this afternoon, people are talking about returning our reproductive rights in Wisconsin.",1
Why Abortion Has Become a Centerpiece of Democratic TV Ads in 2022,2
"Victory! Congratulations on your re-election win in Missouri #ProChoice #MedicareForAll Good job,",1
I’m glad you’re so concerned about your rights being taken away. I’ll see you at the next pro-choice rally?,1
Now she would have been appalled at overturning roe! Next bubba!,2
Ky. Sen. Rand Paul says Mitch McConnell 'needs to pick up the phone' after anti-abortion judge saga,2
Comedian Bill Burr Cake Analogy On Abortion Is Brilliant...Must Watch via,2
Imposing any new restrictions on abortion does nothing but promote more and more restrictions.,1
Roe v wade also made a huge difference. Expect a huge crime spike an about 18 yrs.,1
All ending of a pregnancy is an abortion. A miscarriage is a natural occurrence of an abortion.,1
ABORTION was INTRODUCED to KILL the BLACK COMMUNITY via It hurts!!! 🧐🤔👌🏾,0
Oh yea i forgot about your whole Roe v Wade stance.. good point,2
They blame the shortage of healthy white newborns in the adoption industry on abortion.,1
So how’s the investigation into who leaked the Roe V Wade decision going? Nothing? Thought so. 🙄,2
It is not just Republicans that are against abortion. It is a pro-life issue...politics not needed. Thank you,0
Kansas Recounting Abortion Vote Amid Fear of Irregularities in Voting Data via,2
The only thing that can take them out are enough women voting against the Republican abortion ban.,1
AOC bankrolled abortion farms for the ghost of Hugo Chavez 😂,2
I showed up to support planned parenthood clinic today in Saint Paul MN against the clinic harassers,1
"Out here knocking doors for the ONLY reproductive rights champion running for MI-HD 27, 🚪🌊💙",1
Nice to see Hillary Clinton is focused on the abortion crisis by… calling Bernie sanders a sexist. 🤡,1
Indiana lawmakers address future concerns with recently passed abortion bill | news - Indiana Public Media,2
It’s always the Obama loving abortion supporting democrats that get so upset over EVERYTHING,0
The Topeka Capital-Journal: Kansas abortion amendment recount requested. Here is what it means.. via,2
"Stop painting pro-lifers as a bunch of straight, religious conservatives. -A secular pro-life progressive dem",0
But they won’t get rid of Roe vs Wade when the system is fucked up 👇🏽👇🏽,2
Notice how no one cares about guns and abortion any longer? Wonder why?,2
"She’s a reporter covering abortions, but has no understanding of the pro-life view. That’s a problem.",0
They did their job on Roe v Wade and the second amendment. Just saying…,0
I agree. The problem with hauman abortion is that it kills an already living human being,0
The called the racist architect of fraudulent Trump University must be in it for publicity,2
Happy Lucy Stone Day and Annie Oakley Day! Badass women ftw.,2
This is why voting blue is so important reproductive rights are human rights,1
"Banning abortion has been proven to decrease the TOTAL abortion rate, including illegal abortions.",0
Abortion kills a human being. Killing a human being is murder.,0
honey and bees late night tip 😍 that'd be fun for everyone to get some shine on too!,2
This is the progressive culture of death. Do not be surprised with what follows from abortion to euthanasia.,0
BBC News - Malta: The only EU country where abortion is illegal leaves women scared,2
"Abortion is literally killing babies, not my fault I don’t want millions of babies getting killed every year.",0
Just because they didnt like Hillary. Fucking stupid. Good luck if you need an abortion.,1
"Pro-choice clinics faced decades of violence and you applauded it, son.",1
"We're in Madison today talking with women voters about affordable child care, equal pay, and protecting abortion access",1
"is a personal friend and a fellow Pro-Choice warrior! Please give her a follow, you won’t be sorry #BansOffOurBodies",1
Extremely important story by Please take time to read these perspectives 🤍,2
"Will remember the insurrection, Roe v Wade and how Republicans rally around trump come November",2
Why are the ones against abortion look like you wouldn't wanna f#@k them in the first place?---George Carlin,1
Abortion providers say that pro-life activists routinely make fake appointments to block people from getting abortion care,1
"was very excited to hear that,” said Hayden Laye with South Carolina Democrats for Life.&lt;&lt;",0
Where are you? Abortion care workers need your support for a fair contract.,1
Forced birth and forced hunger. Speaks volumes of the Party Pro-Life.,1
"BTW, it’s a federal offense to block access to an abortion clinic. It’s called the FACE Act.",1
Join members of the faith community TOMORROW to door knock for pro-life candidate 🎉 #LeadRight🐘 RSVP 👉🏼,0
Mom is charged with aiding daughter's illegal after prosecution obtains messages,2
True the Rosenbergs did it in 1952 before Roe v Wade by some years.,2
WaPo Fact Checker's MISTAKES On Abortion Story | Breaking Points with Kr... via ❤️,2
"$BAYRY After Roe ruling, Bayer enlists lobbyists to fight for contraceptive access",1
Come again?? And this guy said he's a doctor. Somehow I find that hard to believe. #prochoice,1
The Jolt: Doctors at Democratic event slam new abortion law: ‘A crime against humanity’,1
You can’t deflect your way out of not talking about an crisis. Pass it on.,2
"Women at abortion rallies are ugly, overweight and not too smart. That's pretty much all.",0
Coach Jim Harbaugh’s Pro-Life Convictions: ‘I Want to Be on the Side of Those Unborn Children’| National Catholic Register,0
"“The Bible is unequivocally pro-life.” Dude, god killed everyone on earth so a guy could start a zoo boat.",1
"It’s so cringe to watch actual parents, birth workers and doctors try and be activists for abortion.",0
The Jolt: ‘A crime against humanity’ Doctors at Democratic event slam new anti-abortion law:,1
What percentage of voters who voted to keep abortion legal in Kansas were Republicans?,2
"Agreed, but this isn’t a bodily autonomy issue since it’s not your body that suffers the consequences of abortion.",0
the sheer horror at thinking there might be even more Trump spawn if not for Roe v Wade,1
New York Times Essay Likening Miscarriage to Abortion is Despicable and Denigrates Women Like Me,0
cried today because McDonald’s messed up my Hot n Spicy. 😅,2
Elizabeth Warren Opens Investigation Into Horrific Impacts of GOP Abortion Bans via,1
Donald Trump's using campaign donations raised since the November 2020 presidential election to finance his criminal defense...,2
Shortly after this photo Jerry Auerbach went on to perform Penny’s abortion at Kellerman’s.,2
According to new polling of all voting Texans- 90% are in disagreement of SCOTUS abortion ban. Don't tell #BetoForTexas,1
A woman needs her abortion. Fred Brown sis but My than my,1
Isn't Healthcare designed to SAVE lives? Isn't abortion LITERALLY killing babies?,0
There are no “pro-life clinics”. There ARE clinics that scam women who are in terrible situations.,1
Just a quick PSA that Abortion is the cover up tool of choice for sex trafficking.,0
Thank you - I agree. I also think this is true of women and their right to choose.,1
What if you lie and tell a man you pregnant for the abortion money and he get excited,2
"“Abortion is healthcare” is kind of disgusting too Susan. You know that, right?",0
They have a right as a state to be for or against abortion.,0
"Most Latino voters say despite beliefs, banning abortion is wrong, polling shows via",1
maybe there is someth in ng wrong if you permit abortion and like it,0
A Nebraska woman is charged with helping her daughter have an abortion,2
SCOTUS took away our reproductive rights! Start there and enforce separation of church and state,1
That Abortion is a matter of bodily autonomy and decided this was protected by the 14th amendment.,1
Every time a Republican gets an abortion an Angel gets COCAINE!!,2
"I think issues like abortion and capitalism are,stronger to them than any other things",2
🚨We must vote Blue if we want our reproductive rights. Vote! Vote! Vote!,1
It's not something that's taken lightly': Rochester woman details abortion decision,1
Tonight join Rep Marilyn Marler’s presentation on the constitution and Reproductive Rights at Goodworks Ventures in Missoula 129 W.Alder,1
You really do need to get more in touch with your fellow barbarians.,2
The numbers will grow if abortion is made entirely illegal. So will infant mortality.,1
You don’t need to be religious to recognize abortion as the child murder that it so clearly is. 😃,0
"It doesn't matter why an abortion is needed. It's about bodily autonomy, as I said.",1
Also I was at The Religious Reproductive Rights Rally in Utah last year on my horse...,1
Funny you should ask. A big percentage of those for abortion are against the death penalty!!,0
BUY A TICKET EVEN IF YOU CAN'T COME BECAUSE YOU GIVE A SHIT,2
You are a walking billboard for safe and free abortion JR…,1
Congratulations on your leadership on Participants are lucky to learn from you,2
Her baby was dying. She needed an abortion to survive. But Texas was ready to let her die too.,1
We’ll have stickers for sale tomorrow night at proceeds will be split between and Abortion Care for Tennessee (,1
"Not all are pro-choice. While Alaska is a libertarian state, no two libertarian states are alike.",2
VOTE: What issue will you consider most when voting in the 2022 election?,2
Health Wellness Lawyers Preparing For Abortion Prosecutions Warn About Health Care Data Privacy ☝ 😐,2
"😆 You Communists... Abortion, AIDS, CV19, and Euthanasia, you just kill us. 💀☠👹",0
Facebook turned over chat messages between mother and daughter now charged over abortion via,2
When was the last time said anything about restoring abortion rights to America’s women and girls?,1
Mother and daughter charged over teen's abortion after Facebook was ordered to turn over their chats via,2
"That same piece of shit that laughed, is also most likely “pro-life.” Hypocritical assholes.",1
"Facebook gave police their private data. Now, this duo face abortion charges",2
Nebraska teen and her mother face charges in abortion-related case that involved obtaining their Facebook messages - CNN,2
Turn back to God and repent': Anti-abortion Republicans are devouring one another,0
How have they not asked about abortion yet? #NY10 @NY1 @errollouis @brigidbergin,2
Meta releases data to law enforcement in Nebraska abortion investigation via Big brother on the next level,2
Jim Harbaugh Says He'd Raise His Players' Baby If Pregnancy Unplanned,2
"I swear, it would not surprise me if a woman in MS dies because she was denied an abortion.",1
They are going to see more of these stories if they don't do something about,2
I hate Facebook Nebraska teen and mother facing charges in abortion-related case that involved obtaining their Facebook messages,1
Facebook turned over chat messages between mother and daughter now charged over abortion,2
South Bend’s lone abortion clinic to close when new state law takes effect | news - Indiana Public Media,2
"300 million guns and 20k murders, mostly gang violence, but every abortion ends in a murder.",0
Judge blocks Wyoming abortion ban from taking effect amid legal challenge,2
The Downballot on what Kansas abortion vote means for November: Abortio... via,2
The Biden Goverment believes in abortion. I agree. Abort the goverment.,0
"Fuck you! No, you shouldn't be able to get an abortion at 8 months! Close your fucking legs!",0
DeSantis inflames leftists by suspending George Soros-backed state attorney who pledged not to enforce abortion law,2
"The left: answer these questions about abortion, adoption, foster care. Harbaugh answers. The left: stick to sports. GFY",0
Biden's Executive Order on Abortion Is a First Step. It's Not Enough.,1
"Abortion is healthcare, get ready to pay child support upon conception ITS NONE of your business 🤓",1
"Just a general warning, chats are Not as private as you might think 💡",1
Amazing how abortion 'male privilege' make sexual differences real once again to those who otherwise ardently deny they exist.,2
The politics of abortion and/or Trump’s victimhood complex are net losers for the GOP.,1
Facebook gave teen's private messages about alleged abortion to Nebraska police via,2
"At the Dallas City Hall meeting, where they are about to vote to decriminalize abortion. Where is the church?",0
Abortion Rights Lawyers Ask State Judge To Temporarily Block Georgia S Abortion Law ☝ 😐,0
"Pray that Dallas City Hall rejects the barbarism of abortion, and embraces protection for the preborn.",0
76% of Latinos not a fan of abortion banning. Wedge abortion EVERYWHERE,1
RT | Religion-based claims are piling up against Florida’s 15-week abortion ban,1
The Seattle City Council passed legislation Tuesday that adds more protections for those seeking an abortion or gender-affirming care.,2
Abortion at 40 weeks is quite literally not a real thing.,1
There is something for everyone in the Bible! But there is no specific prohibition on abortion.,1
"Wait. No men in women's anything. Hey, , Marge here is pro-choice! Hooray, !",1
Kansas Abortion Nightmare Isn’t Over Yet: Extremist Kris Kobach Running For State AG,1
Forbes: Facebook Gave Nebraska Cops A Teen's DMs So They Could Prosecute Her For Having An Abortion. via,2
This is super fucked up. This Is the Data Facebook Gave Police to Prosecute a Teenager for Abortion via,1
